GHGRP_ID,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1007163,30494,27460,31496,31256,26411,27066,32166,34989,34248,31992,32231,34007
1005636,40422,42097,43050,53203,56350,53859,53673,62639,63525,71541,71504,54080
1005033,64381,84768,95367,96372,89329,82198,86105,73513,66952,51445,65601,79557
1004373,165551,146966,133163,143720,130013,146230,152041,154485,149325,121763,121551,120875
1006764,53481,94097,70179,60639,44663,49216,51621,56427,49503,54007,49689,53546
1000201,74308,69407,81094,93627,70355,66741,69380,76762,71848,73617,78438,78258
1006504,102473,92790,105764,100805,100805,82889,84848,80243,81777,75542,73682,83685
1001929,109132,90853,97491,111686,88961,85549,81985,84428,83313,71435,71145,72611
1005512,41551,40898,41038,43417,34536,34989,34584,30991,32110,0,28507,0
1005509,134639,124488,129671,123310,123165,124753,128296,127848,120823,222288,99077,63366
1006446,80582,82889,86334,77252,81033,83472,81039,82616,84937,81236,81079,90395
1004124,0,0,26117,0,0,35919,34032,35595,37399,37169,43448,41359
1012289,0,0,0,0,0,27556,0,0,29191,25779,28852,26437
1005501,205256,217680,205087,220774,219616,221994,224529,224013,225529,211121,211595,212276
1000557,68792,65200,58124,55579,54870,56322,55128,55056,54590,52807,53984,52966
1005561,31105,26772,31727,31313,27725,26336,25716,31815,34256,31012,31097,32431
1002017,29357,31671,32888,31827,30919,30688,30209,31394,34081,30157,30595,30598
1002270,123292,124163,130693,131344,116701,130825,101681,103964,99201,104577,119179,136575
1000408,280692,273711,288526,300313,282585,267110,262462,273224,255316,245596,251535,288662
1014571,0,0,0,0,0,0,0,0,0,0,0,26932
1004580,29174,25798,29615,29526,25991,0,26909,28347,27997,25998,0,27031
1012083,0,0,0,25969,26044,27338,0,0,0,0,0,0
1003771,0,0,60819,79072,83466,67411,65537,62925,70488,74398,69668,75128
1002368,46498,50053,0,0,0,0,0,0,0,0,0,0
1002163,108949,126514,138989,126966,136553,136548,134712,130787,128120,124195,113286,128439
1009993,0,31807,30506,30846,32024,33376,43406,54033,64549,56693,62496,62298
1002803,27105,0,28592,29387,28826,27395,27053,28390,29238,0,28579,29770
1002682,86846,83585,90339,82134,82430,87171,94113,92022,92272,86980,89624,91798
1005599,0,0,0,40802,40439,45498,39280,40591,41964,0,0,0
1004102,151103,147560,155064,139060,116401,131348,125235,137802,128952,133651,125819,130124
1004990,32503,31678,33564,34894,33461,33738,33743,32664,30597,30678,33767,37306
1005660,121657,87517,106105,113367,108148,99307,103211,82977,81919,64757,54223,67661
1005091,57294,56680,60798,59384,57309,58136,65446,61882,66455,59429,62454,82952
1005556,46746,39036,36824,38681,36937,37109,35344,39561,35909,31957,36024,36577
1006651,37672,31919,32619,26707,26224,26525,25811,0,0,0,0,0
1004271,36217,34296,40586,26234,25216,0,0,26956,26214,0,0,25135
1003293,69221,65863,69663,71063,68087,65397,47475,71433,68787,62085,62610,65240
1006683,36052,32177,35866,36220,35398,37966,36191,33760,33759,30150,33594,37232
1014561,0,0,0,0,0,0,0,59201,0,0,0,0
1004800,99611,96899,101757,104057,101387,100792,100835,105108,104345,101049,101209,103165
1004835,115347,109449,111055,105630,79872,82118,95110,104692,103664,93909,92363,100427
